,Distillery,Clusters,Outlier
0,Aberfeldy,4,1
1,Aberlour,3,-1
2,AnCnoc,2,1
3,Ardbeg,1,-1
4,Ardmore,0,1
5,ArranIsleOf,2,1
6,Auchentoshan,2,-1
7,Auchroisk,4,1
8,Aultmore,2,1
9,Balblair,0,1
10,Balmenach,3,-1
11,Belvenie,4,1
12,BenNevis,4,1
13,Benriach,2,1
14,Benrinnes,4,1
15,Benromach,4,1
16,Bladnoch,2,1
17,BlairAthol,4,1
18,Bowmore,0,1
19,Bruichladdich,0,1
20,Bunnahabhain,2,1
21,Caol Ila,1,-1
22,Cardhu,2,1
23,Clynelish,1,-1
24,Craigallechie,4,-1
25,Craigganmore,2,1
26,Dailuaine,3,1
27,Dalmore,3,1
28,Dalwhinnie,2,1
29,Deanston,4,1
30,Dufftown,2,1
31,Edradour,4,1
32,GlenDeveronMacduff,0,-1
33,GlenElgin,2,1
34,GlenGarioch,0,-1
35,GlenGrant,2,1
36,GlenKeith,4,1
37,GlenMoray,2,1
38,GlenOrd,4,1
39,GlenScotia,0,1
40,GlenSpey,2,1
41,Glenallachie,2,1
42,Glendronach,3,-1
43,Glendullan,4,1
44,Glenfarclas,4,1
45,Glenfiddich,2,1
46,Glengoyne,2,1
47,Glenkinchie,2,1
48,Glenlivet,4,1
49,Glenlossie,2,1
50,Glenmorangie,2,1
51,Glenrothes,4,1
52,Glenturret,4,1
53,Highland Park,0,1
54,Inchgower,2,1
55,Isle of Jura,0,1
56,Knochando,4,1
57,Lagavulin,1,-1
58,Laphroig,1,-1
59,Linkwood,2,1
60,Loch Lomond,2,1
61,Longmorn,4,1
62,Macallan,3,-1
63,Mannochmore,2,1
64,Miltonduff,2,1
65,Mortlach,3,1
66,Oban,0,1
67,OldFettercairn,0,-1
68,OldPulteney,0,-1
69,RoyalBrackla,2,-1
70,RoyalLochnagar,3,1
71,Scapa,4,1
72,Speyburn,2,1
73,Speyside,2,1
74,Springbank,0,1
75,Strathisla,4,1
76,Strathmill,2,1
77,Talisker,1,-1
78,Tamdhu,2,1
79,Tamnavulin,2,1
80,Teaninich,2,1
81,Tobermory,2,1
82,Tomatin,0,1
83,Tomintoul,2,1
84,Tormore,0,1
85,Tullibardine,2,-1
